Sample	QualiMap_mqc_generalstats_qualimap_avg_gc	QualiMap_mqc_generalstats_qualimap_median_insert_size	QualiMap_mqc_generalstats_qualimap_mqc_1_x_pc	QualiMap_mqc_generalstats_qualimap_mqc_5_x_pc	QualiMap_mqc_generalstats_qualimap_mqc_10_x_pc	QualiMap_mqc_generalstats_qualimap_mqc_30_x_pc	QualiMap_mqc_generalstats_qualimap_mqc_50_x_pc	QualiMap_mqc_generalstats_qualimap_median_coverage	QualiMap_mqc_generalstats_qualimap_mean_coverage	QualiMap_mqc_generalstats_qualimap_general_error_rate	QualiMap_mqc_generalstats_qualimap_percentage_aligned	QualiMap_mqc_generalstats_qualimap_mapped_reads	QualiMap_mqc_generalstats_qualimap_total_reads	Samtools: flagstat_mqc_generalstats_samtools_flagstat_flagstat_total_1	Samtools: flagstat_mqc_generalstats_samtools_flagstat_mapped_passed_1	Samtools: flagstat_mqc_generalstats_samtools_flagstat_mapped_passed_pct_1	FastQC_mqc_generalstats_fastqc_percent_duplicates	FastQC_mqc_generalstats_fastqc_percent_gc	FastQC_mqc_generalstats_fastqc_avg_sequence_length	FastQC_mqc_generalstats_fastqc_median_sequence_length	FastQC_mqc_generalstats_fastqc_percent_fails	FastQC_mqc_generalstats_fastqc_total_sequences
NS_S5.R2																	69.81264001558435	38.0	108.06656045194596	107	27.27272727272727	0.287468
PM														0.27960199999999996	0.277401	99.21						
PM.qualimap	38.00316429686858	102	100.0	100.0	100.0	99.99107302267453	99.98660953401178	947														
PM.sort									1062.3809	0.44999999999999996	99.21280963655482	0.277401	0.27960199999999996									
PM_S15.R1																	82.28480041494673	38.0	105.66467117633074	102	27.27272727272727	0.138813
PM_S15.R2																	74.46780921095286	38.0	109.98899958937564	107	27.27272727272727	0.138813
PP														0.31625	0.314791	99.54						
PP.qualimap	37.829598999903816	104	100.0	100.0	100.0	100.0	100.0	1259														
PP.sort									1361.6862	0.33999999999999997	99.53865612648222	0.314791	0.31625									
PP_S7.R1																	91.65534268598442	37.0	108.84243398597741	107	18.181818181818183	0.156747
PP_S7.R2																	84.18215340644478	38.0	111.3622780659279	107	27.27272727272727	0.156747
PV														0.587769	0.582171	99.05						
PV.qualimap	37.8584962861907	103	100.0	100.0	100.0	100.0	100.0	2101														
PV.sort									2304.168	0.48	99.04758502064587	0.582171	0.587769									
PV_S1.R1																	85.14249207423258	38.0	107.46961417055084	107	18.181818181818183	0.291139
PV_S1.R2																	75.22970127670975	38.0	111.89372086872594	107	18.181818181818183	0.291139
PZ														0.471421	0.465833	98.81						
PZ.qualimap	38.007261981123435	103	100.0	100.0	100.0	100.0	100.0	1707														
PZ.sort									1906.2132	0.5599999999999999	98.8146476291892	0.465833	0.471421									
PZ_S8.R1																	89.15603785229376	38.0	107.74345985051087	107	18.181818181818183	0.23332799999999998
PZ_S8.R2																	74.73899403414936	38.0	114.88124014263182	112	27.27272727272727	0.23332799999999998
RQ														0.332723	0.330825	99.43						
RQ.qualimap	37.91841827430656	103	100.0	100.0	100.0	100.0	100.0	1192														
RQ.sort									1364.8948	0.37	99.42955551615007	0.330825	0.332723									
RQ_S6.R1																	88.51776175780469	38.0	107.85486834047765	107	9.090909090909092	0.164933
RQ_S6.R2																	79.20913340568595	38.0	112.03988892459363	107	27.27272727272727	0.164933
VM														0.669659	0.664929	99.29						
VM.qualimap	38.01065335386243	103	100.0	100.0	100.0	100.0	100.0	2532														
VM.sort									2808.1333	0.47000000000000003	99.2936703605865	0.664929	0.669659									
VM_S4.R1																	91.13737075332348	38.0	107.38040113475348	107	9.090909090909092	0.332407
VM_S4.R2																	81.09125259095025	38.0	112.17060110045817	107	27.27272727272727	0.332407
YA														0.486209	0.48267899999999997	99.27						
YA.qualimap	38.19627026778745	102	100.0	100.0	100.0	100.0	100.0	1703														
YA.sort									1901.9764	0.38999999999999996	99.27397477216587	0.48267899999999997	0.486209									
YA_S11.R1																	85.53208763260251	38.0	106.07006548834589	102	18.181818181818183	0.241417
YA_S11.R2																	77.85698604489328	38.0	109.17361246308255	107	27.27272727272727	0.241417
